id,question,answer,wrong1,wrong2,wrong3,source,difficulty
1662,"Including the bottom, how many sides are on a square-based pyramid?",five,three,four,six,us,2
1663,Someone would most likely contract salmonella poisoning from eating which of the following?,chicken,carrots,tofu,rice,us,2
1664,"To create a tapestry, one must traditionally engage in what activity?",weaving,sculpting,baking,singing,us,2
1665,What colors are the two circles in the MasterCard logo?,red and yellow,pink and orange,blue and green,black and white,us,2
1666,What color is Pepto-Bismol liquid?,pink,blue,clear,green,us,2
1667,What country gave us the fashionable headgear called the beret?,France,Switzerland,China,Mexico,us,2
1668,What country is famous for making wooden shoes?,The Netherlands,Russia,Thailand,Australia,us,2
1669,What country was once ruled by shoguns?,Japan,China,North Korea,Taiwan,us,2
1670,What disease is characterized by a body's inability to properly metabolize glucose?,Diabetes,Influenza,Septicemia,Arthritis,us,2
1671,What do you call a young cow?,calf,mare,lamb,kid,us,2
1672,What does a pH level measure?,acidity,density,wavelength,humidity,us,2
1673,What force causes an ice cream cone to fly off of a spinning merry-go-round?,centrifugal,vehicular,gravitational,torsal,us,2
1674,What important food crop is grown in fields called paddies?,rice,wheat,rye,corn,us,2
1675,What is called a 'lorry' in Britain?,a truck,a toaster,a babysitter,an elevator,us,2
1676,What is the chemical process wherein a solid is turned to a liquid via the application of heat?,melting,distillation,photosynthesis,freezing,us,2
1677,What is the colored part of the eye called?,iris,pupil,retina,cochlea,us,2
1678,What is the medical term for a doctor's identification of a disease?,Diagnosis,Hypnosis,Prognosis,Trichinosis,us,2
1679,What is the name for the thin board used to mix colors while painting?,palette,pestle,easel,shoe,us,2
1680,What is the official language of The Netherlands?,Dutch,Danish,Swedish,German,us,2
1681,What is the proper nautical use of an anchor?,to hold a ship in place,to catch large fish,to calculate water depth,to damage other boats,us,2
1682,What kind of angle is formed where two perpendicular lines meet?,right,obtuse,acute,invisible,us,2
1683,What mathematical term is used to describe the average of a series of numbers?,mean,median,mode,majority,us,2
1684,What type of substance is 'terra-cotta'?,ceramic,metal,wood,glass,us,2
1685,What's unique about a skeleton key?,It opens many locks.,It's made of bone.,It's extremely old.,It hangs in a closet.,us,2
1686,"When it first appeared on the Internet, amazon.com sold only what?",books,compact discs,cars,clothes,us,2
1687,Where is the Louvre museum?,Paris,Lyon,Geneva,Vichy,us,2
1688,Which brand of cat food claims it's so tasty that 'cats ask for it by name'?,Meow Mix,Fancy Feast,Cat Chow,9-Lives,us,2
1689,Which of the following is most commonly kept in a terrarium?,plants,money,books,ice,us,2
1690,Which of the following must be obtained by foreigners wishing to permanently reside in the US?,visa,bill of landing,driver's license,carte blanche,us,2
1691,Which of these animals shares its name with a luxury car?,jaguar,yak,gazelle,sloth,us,2
1692,Which of these countries is not in Europe?,Israel,Italy,Spain,Greece,us,2
1693,Which of these countries was not a member of the Axis alliance during World War II?,Spain,Germany,Italy,Japan,us,2
1694,Which of these foods is poisonous to dogs?,chocolate,peanut butter,bananas,olives,us,2
1695,Which of these holidays is not attached to a specific date?,Thanksgiving,Independence Day,New Year's Day,Christmas,us,2
1696,Which of these is made from cacao seeds?,chocolate,marzipan,soy sauce,anchovies,us,2
1697,Which of these is not a position on an American football team?,striker,quarterback,tight end,free safety,us,2
1698,Which of these is not a spice?,cucumber,dill,aniseed,cayenne,us,2
1699,Which of these measurements is equal to one square foot?,144 square inches,50 square inches,77 square inches,100 square inches,us,2
1700,Which of these pastas is spiral shaped?,rotini,fettuccine,rigatoni,tortellini,us,2
1701,Which of these toys answers questions?,Magic 8 Ball,Barbie,Frisbee,Slinky,us,2
1702,Which of these vitamins was the first to be named?,Vitamin A,Vitamin-12,Vitamin E,Vitameatavegimen,us,2
1703,Which of these words means 'yes' in French?,oui,qui,ja,okey-dokey,us,2
1704,A triptych is a work of art that is painted on how many panels?,three,two,five,eight,us,3
1705,"According to the proverb, necessity is the mother of what?",Invention,Luck,Problems,Procrastination,us,3
1706,Elephant tusks are made of what material?,ivory,coral,bone,calcium,us,3
1707,"For a man and woman on a date, 'dutch treat' means what?",each pays their own way,the man pays,the woman pays,the Dutch pay,us,3
1708,How is the word 'ambulance' normally written on the front of American ambulances?,in reverse,in French,in braille,in gibberish,us,3
1709,How many digits are in a standard Visa credit card number?,16,12,15,20,us,3
1710,"If someone has cataracts, what part of their body might need an operation?",eye,ear,hand,knee,us,3
1711,"In American football, how many points is a touchdown worth?",six,two,three,seven,us,3
1712,"In British currency, how many pence make a pound?",100,10,500,1000,us,3
1713,"In computer terminology, what does the acronym 'ISP' stand for?",Internet Service Provider,Individual Site Privacy,Investment Stability Plan,Internal Security Position,us,3
1714,"In golf, what is one stroke over par called?",bogey,eagle,dormy,birdie,us,3
1715,"In mobster lingo, if you 'sing like a canary' what are you doing?",talking to the cops,impersonating Sinatra,killing an enemy,betting on horses,us,3
1716,"In the 1960s 'Batman' TV series, who was not a guest villain?",The Squeegee Guy,The Minstrel,The Archer,The Bookworm,us,3
1717,"In the card game blackjack, how much are a queen and a king worth-together?",20,11,15,21,us,3
1718,"In the children's game, what color is 'Rover'?",red,green,black,blue,us,3
1719,In the phrase 'Y2K' what does 'K' stand for?,thousand,millennium,computer code,catastrophe,us,3
1720,"In the United States, what is the first day of spring?",March 21,February 21,April 21,May 21,us,3
1721,In what forest did Robin Hood live?,Sherwood Forest,Black Forest,Petrified Forest,Nottingham Forest,us,3
1722,Modern computer microchips are primarily composed of what element?,Silicon,Sodium,Aluminum,Silver,us,3
1723,People are supposed to drive on the left-hand side of the road in which country?,England,France,Italy,Germany,us,3
1724,The dance known as the 'fandango' is of what origin?,Spanish,Australian,African,Native American,us,3
1725,The majority of calcium in the human body is found where?,bones,hair,blood,digestive tract,us,3
1726,What animal is used to make lard?,pig,cow,snake,chicken,us,3
1727,What are the dimensions of a 'letter size' piece of paper?,8 1/2 x 11 inches,3 1/2 x 5 inches,5 x 10 inches,11 x 17 inches,us,3
1728,What are the names of Donald Duck's three nephews?,"Huey, Dewey, Louie","Quick, Quack, Quock","Alvin, Simon, Theodore","Robbie, Chip, Ernie",us,3
1729,What biological process replicates DNA?,mitosis,molting,diffusion,peristalsis,us,3
1730,What country does Bordeaux wine come from?,France,Spain,Australia,United States,us,3
1731,What country is the rock group U2 from?,Ireland,England,Belgium,Germany,us,3
1732,What does it mean to work 'pro bono'?,work without pay,work overtime,work as your own boss,not work at all,us,3
1733,What Greek poet wrote 'The Iliad' and 'The Odyssey'?,Homer,Sophocles,Plato,Socrates,us,3
1734,What internet company goes by the acronym AOL?,America Online,America Over Lines,Americans On Links,Americans On LOR,us,3
1735,What is an alternate name for the food dish 'Beijing duck'?,Peking duck,Shanghai duck,Hong Kong duck,Brooklyn duck,us,3
1736,What is produced during photosynthesis?,oxygen,hydrogen,nylon,light,us,3
1737,What is the name of the mountain where the mythological Greek gods live?,Olympus,Jupiter,Vesuvius,Valhalla,us,3
1738,What is the national animal of Australia?,kangaroo,koala,platypus,alligator,us,3
1739,What is the principal ingredient in traditional cole slaw?,cabbage,lettuce,spinach,chicory,us,3
1740,What is the proletariat?,the working class,the homeless,the royalty,the upper class,us,3
1741,What letters are on the '3' button of a touch-tone telephone?,DEF,ABC,GHI,WXY,us,3
1742,What Mexican holiday takes place on May 5th?,Cinco de Mayo,Mexican Independence Day,Santa Anna's Birthday,Christmas,us,3
1743,What sport is featured in the 1996 movie 'Kingpin'?,bowling,wrestling,golf,chess,us,3
1744,What term describes a tribe that has no set homeland and wanders from place to place?,Nomadic,Pedantic,Schematic,Cathartic,us,3
1745,What term describes a word created by rearranging the letters of another word?,anagram,onomatopoeia,malapropism,antonym,us,3
1746,What term describes someone who does not believe in the existence of God?,atheist,hedonist,deist,agnostic,us,3
1747,What term describes the passing of genetic traits from one generation to the next?,heredity,heresy,homogeneity,hemoglobin,us,3
1748,What term is used to describe a group of fish?,school,knot,drape,gaggle,us,3
1749,What term is used to describe a group of geese?,gaggle,gang,gander,grist,us,3
1750,What's the popular name of the breakfast meal consisting of sausages wrapped in pancakes?,pigs in a blanket,ducks in a pond,cows in a pasture,dogs in the oven,us,3
1751,"When daylight-saving time arrives in the spring, how do most Americans turn their clocks?",one hour backward,one hour forward,two hours forward,two hours backward,us,3
1752,Where are fireworks first known to have been developed?,China,Italy,Great Britain,Greece,us,3
1753,Where would you typically find a bailiff?,courtroom,grocery store,football stadium,doctor's office,us,3
1754,Which of the following articles of clothing has a hood?,parka,kilt,lederhosen,sarong,us,3
1755,Which of the following is a sports award?,Espy,Oscar,Emmy,Nobel,us,3
1756,Which of the following is not a TV cartoon duo?,Simon and Garfunkel,Chip and Dale,Beavis and Butt-head,Tom and Jerry,us,3
1757,Which of these are not legumes?,radishes,beans,peas,peanuts,us,3
1758,Which of these candy bars was named for a baseball player?,Baby Ruth,Clark Bar,Reggie Bar,Butterfinger,us,3
1759,Which of these foods is not traditionally considered kosher?,shellfish,citrus fruits,barley,chicken,us,3
1760,Which of these is a slang term for 'police'?,fuzz,shrinks,bean counters,aardvarks,us,3
1761,Which of these is commonly used to treat allergies?,antihistamines,antimatter,anticoagulants,antiseptics,us,3
1762,Which of these is not a 'lock' function on a standard desktop computer keyboard?,print lock,number lock,scroll lock,caps lock,us,3
1763,Which of these months has 31 days?,March,April,June,September,us,3
1764,Which of these organs comes in a pair?,kidney,liver,stomach,gallbladder,us,3
1765,Which of these people was buried in the Valley of the Kings?,King Tut,Louis XIV,Elvis Presley,Julius Caesar,us,3
1766,Which of these words is a synonym for 'perambulate'?,stroll,kiss,shout,heal,us,3
1767,Which of these words is an adverb?,quickly,hurried,fast,speedy,us,3
1768,Which of these words is spelled correctly?,hygiene,decieve,foriegn,wierd,us,3
1769,Who composed the 'Moonlight Sonata'?,Beethoven,Mozart,Handel,Bach,us,3
1770,A knish is traditionally stuffed with what filling?,potato,creamed corn,lemon custard,raspberry jelly,us,4
1771,A student who earns a J.D. can begin his or her career as a what?,lawyer,bricklayer,doctor,accountant,us,4
1772,"According to a popular slogan, what state should people not 'mess with'?",Texas,New York,Montana,Rhode Island,us,4
1773,"According to legend, in what country are you most likely to meet a leprechaun?",Ireland,Poland,Greenland,Scotland,us,4
1774,"As of 1999, which state has the most Girl Scouts?",California,Illinois,New York,Pennsylvania,us,4
1775,Backgammon is a how many player game?,Two,Three,Four,Six,us,4
1776,From what language does the term 'R.S.V.P.' originate?,French,Russian,Italian,Portuguese,us,4
1777,How many periods are there in an ice hockey game?,Three,One,Two,Four,us,4
1778,How many ships did Columbus set sail with on his initial voyage to the New World?,Three,Two,Five,Ten,us,4
1779,If a piece of music is in 'common time' how many quarter notes are there per measure?,four,one,five,ten,us,4
1780,"In computer terminology, what does the acronym 'FTP' stand for?",file transfer protocol,full time portal,full text processor,free to print,us,4
1781,In the famous ballet 'The Nutcracker' who does the hero defeat?,Rat King,Sugar Plum Fairy,Snow Queen,Marzipan,us,4
1782,In the movie 'Star Wars' what kind of creature is Chewbacca?,Wookie,Woolie,Boobie,Klingon,us,4
1783,In what sport do you find 'steel cage' matches?,pro wrestling,boxing,fencing,college basketball,us,4
1784,Into what body of water does the Rhone River flow?,Mediterranean Sea,Atlantic Ocean,Caspian Sea,North Sea,us,4
1785,On what body part should you wear a babushka?,head,hands,foot,legs,us,4
1786,"Paper will burn at approximately what temperature, in Fahrenheit?",451 degrees,98.6 degrees,212.5 degrees,398.5 degrees,us,4
1787,Stevie Wonder and Michael Jackson have both recorded duets with which former Beatle?,Paul McCartney,John Lennon,George Harrison,Ringo Starr,us,4
1788,The British dish 'bangers and mash' is made up of sausage and what?,potatoes,eggs,bacon,liver,us,4
1789,The common term for someone who has difficulty seeing objects in the distance is what?,nearsighted,farsighted,hindsighted,hypermetropic,us,4
1790,The disco band ABBA comes from what country?,Sweden,Norway,Switzerland,The Netherlands,us,4
1791,The term 'chili con carne' refers to chili with what?,meat,beans,cheese,chili peppers,us,4
1792,What are the names of the two primary M&M's spokes-candies?,Red and Yellow,Peanut and Plain,Mort and Marty,They don't have names,us,4
1793,What car company once manufactured and sold the 'Datsun' line of automobiles?,Nissan,Mazda,Toyota,Daihatsu,us,4
1794,What cartoon character traveled in a time machine with Mr. Peabody?,Sherman,Rocky,Jonny Quest,Underdog,us,4
1795,What children's storybook character believes that the sky is falling?,Chicken Little,Curious George,Jack Sprat,Tom Thumb,us,4
1796,What company makes Oreo cookies?,Nabisco,General Mills,Keebler,Kraft,us,4
1797,What condition is caused by malfunctioning sebaceous glands?,acne,bad breath,shingles,carpal tunnel syndrome,us,4
1798,What do you call three consecutive strikes in bowling?,turkey,yahtzee,mulligan,ace,us,4
1799,What does the acronym 'REM' stand for?,rapid eye movement,random energy module,red entertainment machine,really energetic music,us,4
1800,What exercise apparatus is used during a 'Spinning' class?,stationary bicycle,treadmill,rowing machine,barbells,us,4
1801,What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,us,4
1802,What is a Dutch oven?,a kettle pot,a toaster oven,a microwave,a sauna,us,4
1803,What is the art of elegant handwriting called?,calligraphy,engraving,decoupage,lithography,us,4
1804,What is the last letter of the Greek alphabet?,omega,omicron,upsilon,zeta,us,4
1805,What is the more common name for the disease 'pertussis'?,whooping cough,tennis elbow,black lung,German measles,us,4
1806,What nationality was Karl Marx?,German,Russian,Danish,English,us,4
1807,What part of the human body does a gastroenterologist examine?,stomach,brain,skeleton,nose,us,4
1808,What part of the world was once known as Cathay?,China,India,Iran,Indonesia,us,4
1809,"When driving, which of the following gestures means 'left turn'?",arm straight out,arm bent upwards,thumbs up,closed fist,us,4
1810,Which of these colors is a shade of blue?,periwinkle,ochre,mauve,ecru,us,4
1811,Which of these foods could you catch at sea?,scallop,shallot,stollen,scone,us,4
1812,Which of these is a fish?,sea horse,sea cow,sea snake,sea lion,us,4
1813,Which of these is a type of artwork consisting of pieces of wood inlaid in geometric patterns?,parquetry,marquetry,harquetry,sharquetry,us,4
1814,Which of these is not a breed of cat?,Bichon Frise,Persian,Turkish Angora,Maine Coon,us,4
1815,Which of these is not a fabric?,Celotex,Velveteen,Seersucker,Tencel,us,4
1816,Which of these is not a style of shoe?,gingham,brogan,espadrille,docksider,us,4
1817,Which of these is not a traditional Greek dish?,sukiyaki,souvlaki,moussaka,finikia,us,4
1818,Which of these is not an ingredient in Yorkshire pudding?,chocolate,eggs,milk,meat drippings,us,4
1819,Which of these is not one of the three branches of the US government?,Parliamentary,Judicial,Executive,Legislative,us,4
1820,Which of these is typically not used as a spice?,hemlock,dill,thyme,marjoram,us,4
1821,Which of these items is useful for removing ink stains?,baking soda,nail polish,hair spray,butter,us,4
1822,Which of these would you most commonly find in a sconce?,candle,food,birds,books,us,4
1823,According to a famous line from the existentialist play 'No Exit' what is hell?,other people,oneself,little made large,hued in green and blue,us,5
1824,"According to a Yale University study, what smell is the most recognizable to American adults?",coffee,tuna,laundry,popcorn,us,5
1825,"According to the children's nursery rhyme, what type of ocean did Columbus sail in 1492?",blue,calm,windy,really big,us,5
1826,According to the USDA in the 90s which food group should you eat the most servings of per day?,breads,vegetables,dairy,meats,us,5
1827,"After Prince Charles, who is next in line to be the king of England?",Prince William,Prince Andrew,Prince Edward,Fresh Prince,us,5
1828,At what age can someone first attend an R-rated movie without an accompanying adult?,18,15,17,21,us,5
1829,Cheddar cheese got its name from a village in what country?,England,France,Switzerland,Denmark,us,5
1830,For what purpose would you use an awl?,to make holes,to shoot ducks,to polish floors,to weigh fruit,us,5
1831,How many innings are there in a regular Major League Baseball game?,nine,seven,eight,ten,us,5
1832,How many keys are on a standard piano?,88,20,54,100,us,5
1833,How many ribs are there in the human body?,24,18,30,42,us,5
1834,How long is Hanukkah?,eight days,one day,five days,two weeks,us,5
1835,If you are 'riding fakie' inside a 'half pipe' what are you probably doing?,snowboarding,skiing,biking,surfing,us,5
1836,"If you are truly afraid of the dark, what do you suffer from?",nyctophobia,hypnophobia,cryptophobia,hadephobia,us,5
1837,If you work as a 'dolly grip' what business are you in?,film production,sheep farming,construction,moving,us,5
1838,"In 1909, Frederick Cook claimed to be the first explorer to reach what location?",North Pole,Mount Everest,Bermuda Triangle,Atlantis,us,5
1839,"In baseball, how many balls make a walk?",four,one,two,three,us,5
1840,"In cooking, the term 'au gratin' is sometimes used to describe a dish with what topping?",cheese,fruit,gravy,whipped cream,us,5
1841,"In Greek mythology, what is the name of Zeus' father?",Cronus,Apollo,Prometheus,Hercules,us,5
1842,"In horse racing, what is the term for a wager on the 1st, 2nd and 3rd place finishers in a specific race?",trifecta,triple action,exacta,triple crown,us,5
1843,"In Mister Rogers' theme song, what does he ask you to be?",his neighbor,his cook,his student,all you can be,us,5
1844,In the classic song 'Take Me Out to the Ballgame' for whom do we 'root root root'?,the home team,the umpire,the bat boy,Mighty Casey,us,5
1845,In the comic strip 'Peanuts' what is Schroeder known for doing?,playing the piano,Dancing,playing football,Flying an imaginary plane,us,5
1846,"In traditional English puppet shows, who is married to the character Punch?",Judy,Debbie,Victoria,Barbara,us,5
1847,In what decade did Israel become an independent state?,1940s,1920s,1950s,1960s,us,5
1848,In what sport do athletes compete for the Walker Cup?,golf,cricket,tennis,squash,us,5
1849,John D. Rockefeller made his fortune in what industry?,oil,automobile,steel,railroad,us,5
1850,Mohair is made from the fleece of what animal?,goat,camel,llama,mole,us,5
1851,"On a set of jumper cables, what color designates the negative connector?",black,red,orange,blue,us,5
1852,"On average, what length of time passes between high tides?","12 hours, 25 minutes","3 hours, 25 minutes","6 hours, 25 minutes","24 hours, 25 minutes",us,5
1853,On what continent can you find tigers in the wild?,Asia,Africa,Europe,South America,us,5
1854,"Phoebe, Dione and Helene are moons of what planet?",Saturn,Jupiter,Neptune,Pluto,us,5
1855,The film 'Stand By Me' is based on a novel by what author?,Stephen King,Anne Proulx,Dean Koontz,Frank McCourt,us,5
1856,The phrase 'hospital corners' refers to what?,bed sheets,paint,landscaping,scissors,us,5
1857,What article of clothing best describes a 'pashmina'?,scarf,shoes,pants,underwear,us,5
1858,What disease is sometimes referred to as the 'royal disease'?,hemophilia,rickets,measles,tuberculosis,us,5
1859,What does the Latin phrase 'e pluribus unum' mean?,"from many, one",What a crazy life.,In God we trust.,for the greater good,us,5
1860,What does the 'ROM' in CD-ROM stand for?,Read-Only Memory,Really Obscure Memory,Run-Other Memory,Random Object Memory,us,5
1861,What is the baseball term for a batter who substitutes for another batter?,pinch hitter,switchhitter,shadow hitter,clip hitter,us,5
1862,What is the correct spelling of New Mexico's largest city?,Albuquerque,Albuqerque,Albequerque,Santa Fe,us,5
1863,What is the largest animal ever to live on Earth?,blue whale,giant squid,woolly mammoth,Tyrannosaurus,us,5
1864,What is the last book of the New Testament?,Revelation,Judges,Ruth,John,us,5
1865,What is the name of the baby who appears in cartoons and comic strips with Popeye the Sailor?,Swee'pea,Pun'kin,Lamikins,Suga'baby,us,5
1866,What is the name of the Newtonian law that states 'An object in Motion tends to stay in motion'?,Law of Inertia,Law of Thermodynamics,Law of Relativity,Law of Gravitation,us,5
1867,What is the nickname of Florida's controversial death row electric chair?,Old Sparky,Old Yeller,Old Geezer,Old Smoky,us,5
1868,What is the technical term for someone who studies fish?,ichthyologist,entomologist,marinologist,herpetologist,us,5
1869,What is the technical term for the offspring of a female donkey and a male horse?,hinny,burro,dorse,honker,us,5
1870,What is your astrological sign if you were born on Halloween?,Scorpio,Capricorn,Libra,Cancer,us,5
1871,What kind of animal is a peregrine?,bird,moose,cat,fish,us,5
1872,What kind of flying contraption is featured in the movie 'Chitty Chitty Bang Bang'?,car,boat,truck,bike,us,5
1873,What kind of item is a ginsu?,knife,radio,toothbrush,martial arts weapon,us,5
1874,What kind of worker uses a 'paddy wagon'?,police officer,limo driver,rice farmer,paramedic,us,5
1875,What liqueur is used to make a Pink Lady cocktail pink?,grenadine,schnapps,triple sec,pernod,us,5
1876,What metal device is used by police to immobilize the wheels of repeat parking offenders?,Denver boot,Brooklyn clamp,LoJack,The Club,us,5
1877,What newspaper do Lois Lane and Clark Kent work for?,The Daily Planet,The Bugle,The Metropolis Tribune,The New York Times,us,5
1878,What people ruled the Andes Mountains until they were conquered by the Spanish in 1532?,Inca,Pueblo,Aztec,Apache,us,5
1879,What tea is known for its distinctive bergamot flavor?,Earl Grey,Darjeeling,English Breakfast,Prince of Wales,us,5
1880,What type of meat is on a traditional Reuben sandwich?,corned beef,turkey,bologna,pepperoni,us,5
1881,What was the name of Huey Lewis' band?,The News,The Attractions,The Silver Bullet Band,Louie and Dewey,us,5
1882,What's the third letter of the Greek alphabet?,gamma,delta,phi,theta,us,5
1883,"When it comes to measuring horses, how long is a 'hand'?",four inches,seven inches,ten inches,two feet,us,5
1884,Where did Lewis and Clark begin their famous expedition in 1804?,St. Louis,Seattle,New Orleans,"Washington, DC",us,5
1885,Which character on the TV show 'Friends' is a chef?,Monica,Joey,Ross,Rachel,us,5
1886,"Which fast food chain used the advertising slogan, 'Where's the beef?'",Wendy's,Kentucky Fried Chicken,Burger King,McDonald's,us,5
1887,Which of the following is not in Nevada?,Pikes Peak,Liberace Museum,Lake Mead,Hoover Dam,us,5
1888,Which of the following requires the use of at least two needles?,hand knitting,macrame,braiding,crocheting,us,5
1889,Which of these countries does not participate in NAFTA?,Guatemala,United States,Canada,Mexico,us,5
1890,Which of these dishes is made from pig intestines?,chitlins,haggis,grits,chop suey,us,5
1891,Which of these is not a Hindu deity?,Sanskrit,Shiva,Vishnu,Brahma,us,5
1892,Which of these is not a type of chili pepper?,cheyenne,habanero,jalapeno,guajillo,us,5
1893,Which of these is not a type of primate?,marmot,baboon,orangutan,chimpanzee,us,5
1894,Which of these is not a type of rock?,deciduous,metamorphic,sedimentary,igneous,us,5
1895,Which of these is not found in a Snickers candy bar?,almonds,chocolate,nougat,caramel,us,5
1896,Which of these movies does not star Jim Carrey?,'Patch Adams','The Truman Show','Dumb and Dumber','The Mask',us,5
1897,Which of these organizations is not part of the U.S. government?,NAACP,NASA,CIA,FBI,us,5
1898,Which of these plants is the national emblem of Scotland?,thistle,ivy,rose,linden,us,5
1899,Which of these rivers flows through France?,Seine,Volga,Mekong,Allegheny,us,5
1900,Which one of these world leaders was assassinated?,Indira Gandhi,Ferdinand Marcos,Golda Meir,Neville Chamberlain,us,5
1901,Who is an archenemy of the cartoon superhero Underdog?,OverCat,Muttley,Mr. Whoopie,Dick Dastardly,us,5
1902,Who was the first US president to resign from that office?,Richard Nixon,Martin Van Buren,Andrew Jackson,Andrew Johnson,us,5
1903,Who wrote 'A Tale of Two Cities'?,Charles Dickens,Nathaniel Hawthorne,Washington Irving,Mark Twain,us,5
1904,With what would you use a wah-wah pedal?,electric guitar,bicycle,stock car,baby,us,5
1905,"According to folklore, the 'jackalope' is an antlered version of what animal?",rabbit,chicken,moose,snake,us,6
1906,"According to Greek mythology, who was Apollo's twin sister?",Artemis,Aphrodite,Venus,Athena,us,6
1907,"According to the American Kennel Club, what is the most popular breed of dog in the US as of 1999?",Labrador retriever,Poodle,Beagle,German shepherd,us,6
1908,"According to the title of a popular children's TV show, what color is Bear's big house?",blue,red,green,purple,us,6
1909,An airplane's black box is usually what color?,orange,black,white,purple,us,6
1910,"Huffy, Schwinn and Raleigh are all brands of what?",bicycles,sportswear,dishwashers,cigarettes,us,6
1911,"If you ask for 'gai' at a Thai restaurant, what will you get?",chicken,shrimp,beef,pork,us,6
1912,"If you dial '411' on a telephone, who are you calling?",directory assistance,the police,the White House,Moviefone,us,6
1913,"In an adult human, how long is the large intestine?",five feet,one foot,twelve feet,twenty feet,us,6
1914,In the sci-fi movie 'Fantastic Voyage' where do the voyagers travel?,through a human body,through outer space,to the ocean floor,to the center of the earth,us,6
1915,In the story 'Jack and the Beanstalk' what does Jack trade to get the magic beans?,a cow,a hat,a harp,a goose,us,6
1916,In what city would you find people studying art and design at the Fashion Institute of Technology?,New York,Paris,Los Angeles,Melbourne,us,6
1917,In what year did the Great Depression begin?,1929,1884,1953,1975,us,6
1918,In which of these sports do competitors use a 'funny car'?,drag racing,supercross,dogsledding,gymnastics,us,6
1919,On TV's 'Seinfeld' what type of doctor did Mr. Costanza go to when he sat on fusilli Jerry'?,proctologist,ophthalmologist,cardiologist,neurologist,us,6
1920,On which part of a car would you find the 'caliper'?,brakes,battery,engine,radiator,us,6
1921,Pop icon Tiny Tim was famous for playing what musical instrument?,ukulele,kazoo,accordion,fiddle,us,6
1922,The process of drilling holes in the skull is called what?,trepanation,bifurcation,aeronomy,skullduggery,us,6
1923,What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,us,6
1924,What animated character has a crush on the Little Red Haired Girl?,Charlie Brown,Richie Rich,Bugs Bunny,Jonny Quest,us,6
1925,What are the plastic boxes that hold compact discs called?,jewel cases,frame cases,slip cases,wafer boxes,us,6
1926,What automobile company makes the Sonata?,Hyundai,Toyota,Honda,Subaru,us,6
1927,What fictional character claims to be 'smarter than the average bear'?,Yogi Bear,Paddington Bear,Fozzie Bear,Smokey Bear,us,6
1928,What high school does the gang from the 'Archie' comic strip attend?,Riverdale High,Ridgemont High,Rumson High,Riker's Island High,us,6
1929,What is a balalaika?,musical instrument,Russian peasant,type of hat,breed of shark,us,6
1930,What is another name for the camelopard?,giraffe,circus,cantaloupe,oasis,us,6
1931,What is the 7-Eleven company's trademarked name for its super-large sodas?,Big Gulp,Big Slurp,Big Drink,Big Sip,us,6
1932,What is the capital of New Zealand?,Wellington,Sydney,Auckland,Melbourne,us,6
1933,What is the largest city in Pennsylvania?,Philadelphia,Stewartsville,Harrisburg,Pittsburgh,us,6
1934,What is the name of Raggedy Ann's doll brother?,Andy,Red,Freckles,Randy,us,6
1935,What is the name of the fruit that is half tangerine and half grapefruit?,tangelo,graperine,tangefruit,kumquat,us,6
1936,What is the singular form of the word 'graffiti'?,graffito,graffita,graffitem,graffitus,us,6
1937,What is varicella?,the chicken pox virus,a fancy pasta,a type of opera,ancient Roman poetry,us,6
1938,What professional sports team played its home games in the Alamodome?,San Antonio Spurs,New York Jets,Detroit Tigers,Boston Bruins,us,6
1939,What sporting event is held annually on Memorial Day weekend?,Indianapolis 500,Iditarod,Kentucky Derby,Super Bowl,us,6
1940,What topic does Spin magazine primarily cover?,music,politics,washing machines,books,us,6
1941,Where did the Exxon Valdez run aground in March of 1989?,Prince William Sound,Monterey Bay,Cape Cod,Gulf of Mexico,us,6
1942,Where is the Frank Lloyd Wright-designed house known as Falling Water?,Pennsylvania,Connecticut,Illinois,New York,us,6
1943,Which company holds an annual self-named 'Bake-Off'?,Pillsbury,Betty Crocker,Duncan Hines,Keebler,us,6
1944,Which of the following is not a flavor of Ben & Jerry's Ice Cream?,Cutie Patootie,Wavy Gravy,Bovinity Divinity,Chubby Hubby,us,6
1945,Which of these games is not played with cards?,craps,baccarat,rummy,solitaire,us,6
1946,Which of these is a member of the cucumber family?,watermelon,green pepper,potato,green bean,us,6
1947,Which of these is an Italian Design firm?,Fendi,Escada,Ghost,Mainbocher,us,6
1948,Which of these is not one of Aesop's fables?,'The Dog and the Squirrel','The Hare and the Tortoise','The Eagle and the Beetle','The Ox and the Frogs',us,6
1949,Which of these is not one of superhero Captain Marvel's abilities?,the power of Apollo,the strength of Hercules,the courage of Achilles,the wisdom of Solomon,us,6
1950,Which of these is not one of the four basic forces in nature?,centrifugal,electromagnetic,gravitational,nuclear,us,6
1951,Which of these is not one of the official languages of the United Nations?,Japanese,English,Russian,Spanish,us,6
1952,Which of these is not the name of one of rock musician Frank Zappa's children?,Lumpy Gravy,Dweezil,Ahmet,Moon Unit,us,6
1953,Which of these is referred to as a 'pigskin'?,Football,Basketball,hockey puck,catcher's Mitt,us,6
1954,Which of these magazines does not focus on natural science?,Tiger Beat,Outside,National Geographic,Smithsonian,us,6
1955,Which of these people was not alive in the 20th century?,Ulysses S. Grant,Mark Twain,Thomas Edison,Sigmund Freud,us,6
